pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_urb_share,pc11_slum_pop,pc11_vd_area,pc11_td_area,pc11_tot_area,pc11_pop_dens,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_pca_tot_m,pc11u_pca_tot_m,pc11_pca_tot_m,pc11r_pca_tot_f,pc11u_pca_tot_f,pc11_pca_tot_f,pc11r_pca_p_lit,pc11u_pca_p_lit,pc11_pca_p_lit,pc11r_pca_m_lit,pc11u_pca_m_lit,pc11_pca_m_lit,pc11r_pca_f_lit,pc11u_pca_f_lit,pc11_pca_f_lit,pc11r_pca_p_sc,pc11u_pca_p_sc,pc11_pca_p_sc,pc11r_pca_m_sc,pc11u_pca_m_sc,pc11_pca_m_sc,pc11r_pca_f_sc,pc11u_pca_f_sc,pc11_pca_f_sc,pc11r_pca_p_st,pc11u_pca_p_st,pc11_pca_p_st,pc11r_pca_m_st,pc11u_pca_m_st,pc11_pca_m_st,pc11r_pca_f_st,pc11u_pca_f_st,pc11_pca_f_st
01,000,00000,,0,0,316.31,316.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,001,00001,.1397468,15518,275.0296010684967,26.91,301.93961,1791.4642,465323,75591,540914,252856,44981,297837,212467,30610,243077,222247,46761,269008,142702,31610,174312,79545,15151,94696,783,37,820,781,37,818,2,0,2,45289,1539,46828,23679,875,24554,21610,664,22274
01,001,00002,.050499238,4957,282.9671007633209,8.5,291.4671,923.98419,255711,13600,269311,134503,7379,141882,121208,6221,127429,131338,9010,140348,81269,5597,86866,50069,3413,53482,58,59,117,58,59,117,0,0,0,15785,16,15801,8290,12,8302,7495,4,7499
01,001,00003,.25841108,0,57.95699996948242,11.93,69.887001,860.37457,44591,15538,60129,24679,9792,34471,19912,5746,25658,21413,8885,30298,14814,6831,21645,6599,2054,8653,31,80,111,31,80,111,0,0,0,7417,306,7723,3886,171,4057,3531,135,3666
01,002,00004,0,0,62.2630001449585,0,62.263,1085.6528,67596,0,67596,34457,0,34457,33139,0,33139,25898,0,25898,15433,0,15433,10465,0,10465,16,0,16,8,0,8,8,0,8,2225,0,2225,1134,0,1134,1091,0,1091
01,002,00005,.083645068,13662,126.7221003818512,7.3,134.02209,1218.702,149671,13662,163333,80103,7174,87277,69568,6488,76056,63876,6682,70558,39183,3924,43107,24693,2758,27451,68,0,68,68,0,68,0,0,0,4,0,4,4,0,4,0,0,0
01,002,00006,.021328013,1449,121.604000660181,4.3,125.904,979.4129,120682,2630,123312,62783,1444,64227,57899,1186,59085,44848,1580,46428,28065,1008,29073,16783,572,17355,0,2,2,0,2,2,0,0,0,11232,0,11232,5733,0,5733,5499,0,5499
01,002,00007,.1703261,5164,131.4450003242493,14.72,146.16499,915.78015,111056,22799,133855,57359,12823,70182,53697,9976,63673,50271,13604,63875,30663,9015,39678,19608,4589,24197,0,94,94,0,88,88,0,6,6,302,85,387,159,68,227,143,17,160
01,002,00008,.22281171,10648.90380859375,172.7210001373291,13.71,186.431,1138.3998,164945,47288,212233,86218,27311,113529,78727,19977,98704,80313,29021,109334,49137,19370,68507,31176,9651,40827,2,186,188,2,175,177,0,11,11,5748,534,6282,3007,290,3297,2741,244,2985
01,002,00009,.21590909,6687,58.05499908447266,3.65,61.704998,865.6673,41883,11533,53416,22465,5904,28369,19418,5629,25047,13059,6497,19556,8160,3783,11943,4899,2714,7613,0,0,0,0,0,0,0,0,0,3782,0,3782,1988,0,1988,1794,0,1794
