lgd_state_id,lgd_district_id,ec_num_hosp_priv,ec_emp_hosp_priv,ec_num_hosp_gov,ec_emp_hosp_gov
01,001,7,74,41,1003
01,002,3,113,39,859
01,003,17,253,49,1249
01,004,2,18,18,346
01,005,18,1410,39,1251
01,007,9,83,28,575
01,008,6,86,35,539
01,010,4,25,25,345
01,011,5,51,24,665
01,012,5,41,40,766
01,013,29,738,23,1503
01,014,4,61,32,700
01,620,0,0,8,103
01,621,0,0,7,233
01,622,0,0,7,211
01,623,3,26,2,116
01,624,5,87,18,402
01,625,2,10,11,195
01,626,3,21,11,208
01,627,0,0,23,405
02,015,11,217,25,511
02,016,1,8,32,507
02,017,13,288,34,611
02,018,37,903,65,2538
02,019,3,153,14,204
02,020,17,405,17,271
02,021,0,0,10,120
02,022,33,581,60,1117
02,023,15,492,48,3326
02,024,4,45,22,370
02,025,18,315,44,1010
02,026,23,230,5,193
03,027,137,2369,28,491
03,028,126,1984,52,1207
03,029,25,325,7,109
03,030,16,116,19,322
03,031,52.80038005113602,540.8471361994743,21.88123857975006,458.5546519756317
03,032,103.0193960666656,1181.194993257523,82.55663931369781,1073.236311078072
03,033,87,1090,46,812
03,034,218,3778,55,870
03,035,50,581,23,533
03,036,240,4801,34,818
03,037,13,83,8,187
03,038,79,703,37,520
03,039,65,654,22,608
03,040,54,771,12,271
03,041,99,1880,52,626
03,042,24,355,25,742
03,043,76,662,63,853
03,605,7,89,31,444
03,608,52,2422,18,190
03,609,61,516,41,726
03,651,58.19961994886398,596.1528638005257,24.11876142024994,505.4453480243683
03,662,42.98060393333435,492.8050067424774,34.44336068630219,447.7636889219284
04,044,30,1048,5,4570
05,045,8,66,30,455
05,046,0,0,9,204
05,047,2,18,14,315
05,048,1,15,8,93
05,049,84,4056,35,1086
05,050,59,989,18,659
05,051,35,733,38,950
05,052,11,94,40,538
05,053,8,151,19,249
05,054,4,63,6,116
05,055,8,75,27,374
05,056,88,2323,17,303
05,057,4,124,16,162
06,058,9,127,4,54
06,059,24.93695640563965,235.5156993865967,19.39541053771973,324.1804332733154
06,060,87,1499,7,77
06,061,86,897,26,363
06,062,66,2157,18,597
06,063,126,2453,27,1507
06,064,3,60,17,229
06,065,70,720,36,654
06,066,61,628,31,363
06,067,39,563,32,522
06,068,82,824,34,683
06,069,21,228,1,5
06,070,39,424,17,207
06,071,83,833,22,511
06,072,82,892,23,543
06,073,18,400,28,454
06,074,105,771,20,205
06,075,105,1608,41,697
06,076,52,846,7,182
06,604,6,46,4,154
06,619,49,669,5,95
06,701,11.06304359436035,104.4843006134033,8.604589462280273,143.8195667266846
07,077,62,2148,35,13279
07,078,78,2145,6,63
07,079,41,2490,19,9107
07,080,57,643,11,1542
07,081,27,324,5,32
07,082,85,2031,14,1339
07,083,75,3275,6,340
07,084,54,1025,12,525
07,085,123,4504,11,959
08,086,104,3060,76,1433
08,087,137,1845,87,1513
08,088,21,230,36,542
08,089,17,253,38,660
08,090,43,352,55,586
08,091,49,579,73,1120
08,092,68,1386,74,1126
08,093,63,845,68,1237
08,094,25,201,37,522
08,095,14,255,35,783
08,096,28,375,70,978
08,097,39,341,30,392
08,098,28,181,30,366
08,099,18,231,34,556
08,100,102,1139,51,1240
08,101,49,530,37,518
08,102,428,8689,114,3094
08,103,8,107,10,81
08,104,43,391,45,566
08,105,12,278,37,1078
08,106,14,208,93,1275
08,107,82,2041,64,802
08,108,16,156,19,267
08,109,99,3246,46,713
08,110,48,510,95,1357
08,111,57,557,76,979
08,112,12,116,44,770
08,113,20,224,31,490
08,114,112,1222,83,1267
08,115,41,1476,35,549
08,116,15,170,44,521
08,117,107,2411,102,2208
08,629,3,33,27,448
09,118,243,2681,22,327
09,119,81,679,16,247
09,120,253,2643,33,344
09,121,22,180,14,144
09,122,19,137,10,143
09,123,98,1021,28,255
09,124,26,255,9,105
09,125,24,169,25,504
09,126,97,617,45,402
09,127,32,304,20,155
09,128,40,274,22,431
09,129,38,408,24,305
09,130,80,1408,15,129
09,131,53,835,14,501
09,132,83,969,15,146
09,133,36,245,36,511
09,134,69,774,29,487
09,135,56,375,9,163
09,136,11,68,14,107
09,137,66,432,43,475
09,138,26,243,16,133
09,139,43,1539,16,177
09,140,2,13,0,0
09,141,42,565,18,293
09,142,59,500,45,606
09,143,29,242,11,583
09,144,67,8757,15,442
09,145,83.55398225784302,1277.590378284454,3.570683002471924,43.56233263015747
09,146,22,134,11,83
09,147,30,188,32,238
09,148,127,1532,33,590
09,149,20,223,11,119
09,150,72,583,18,362
09,151,14,112,7,94
09,152,84,904,38,524
09,153,93,1416,66,611
09,154,40,287,12,192
09,155,13,85,10,105
09,156,25,190,12,93
09,157,240,4088,48,1915
09,158,12,76,7,76
09,159,19,163,15,306
09,160,44,294,27,271
09,161,12,173,4,29
09,162,290,4181,57,6487
09,163,38,315,15,150
09,164,15,169,10,130
09,165,12,69,17,155
09,166,23,186,19,475
09,167,77,781,16,227
09,168,59,469,32,585
09,169,162,1915,26,580
09,170,23,172,11,94
09,171,69.93954300880432,749.7756093740463,9.483327865600586,224.0436208248138
09,172,95.5833832025528,718.2606404423714,24.93479561805725,970.3791294693947
09,173,34,393,16,311
09,174,48,621,31,389
09,175,44.58625727891922,419.6353626251221,23.60448914766312,267.5175436735153
09,176,34,388,21,443
09,177,136,1077,40,282
09,178,32,260,12,108
09,179,9,84,3,20
09,180,58,488,22,397
09,181,5,117,7,106
09,182,15,85,18,312
09,183,89,1133,50,808
09,184,25,209,15,377
09,185,27.61697602272034,387.8929814100266,18.20209783315659,234.1166376471519
09,186,56,456,36,341
09,187,173,2093,36,1472
09,633,8,63,5,50
09,640,22.796765178442,290.4716416597366,14.19341221451759,177.3658095598221
09,659,48.06046050786972,515.2244283258915,6.516672611236572,153.956390440464
09,660,42.4166167974472,318.7393595576286,11.06520438194275,430.6208705306053
09,661,33.44601774215698,511.4096217155457,1.429316997528076,17.43766736984253
10,188,8,48,8,137
10,189,60,586,18,296
10,190,6,132,8,45
10,191,73,651,7,122
10,192,22,205,11,119
10,193,27,201,6,52
10,194,43,479,14,138
10,195,41,381,10,153
10,196,50,579,21,370
10,197,11,71,3,37
10,198,10,219,2,11
10,199,11,144,6,133
10,200,26,198,12,230
10,201,16,329,12,195
10,202,30,225,15,409
10,203,29,206,0,0
10,204,3,16,4,44
10,205,20,198,16,232
