lgd_state_id,lgd_district_id,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_ag_main_share,pc11u_ag_main_share,pc11_ag_main_share,pc11r_pca_main_al_p,pc11r_pca_marg_al_p,pc11u_pca_main_al_p,pc11_pca_main_al_p,pc11r_pdensity,pc11u_pdensity,pc11_pdensity,pc11r_pca_tot_work_p,pc11r_pca_main_cl_p,pc11r_pca_main_hh_p,pc11r_pca_main_ot_p,pc11r_pca_margwork_p,pc11r_pca_marg_cl_p,pc11r_pca_marg_hh_p,pc11r_pca_marg_ot_p,pc11r_pca_margwork36_p,pc11r_pca_marg_cl36_p,pc11r_pca_marg_al36_p,pc11r_pca_marg_hh36_p,pc11r_pca_marg_ot36_p,pc11r_pca_margwork03_p,pc11r_pca_marg_cl03_p,pc11r_pca_marg_al03_p,pc11r_pca_marg_hh03_p,pc11r_pca_marg_ot03_p,pc11r_pca_non_work_p,pc11u_pca_main_cl_p,pc11_pca_main_cl_p,pc11_vd_area,pc11_td_area,pc11_area,pc11r_pca_mainwork_p,pc11u_pca_mainwork_p,pc11_pca_mainwork_p
01,001,708161,282887,991048,.28166986,.027839214,.30950907,14972,43841,2108,17080,1136.1935,4673.501,1449.3136,264383,31003,3494,56101,158813,84185,7275,23512,99466,48689,29561,4364,16852,59347,35496,14280,2911,6660,443778,2436,33439,623.2750011384487,60.53,683.80505,105570,57653,163223
01,002,563154,97912,661066,.31420684,.021720437,.33592728,9240,19388,925,10165,983.94098,2241.5752,1073.1151,153671,27301,12668,41472,62990,16790,12524,14288,47107,11852,14766,9218,11271,15883,4938,4622,3306,3017,409483,1601,28902,572.3453002199531,43.68,616.02527,90681,25615,116296
01,003,796498,182500,978998,.25303188,.015673459,.26870534,17230,39872,1375,18605,836.60834,2871.3027,963.94501,225754,28296,7005,72334,100889,24976,6816,29225,74395,16668,29000,5147,23580,26494,8308,10872,1669,5645,570744,1445,29741,952.056001521647,63.56,1015.616,124865,55057,179922
01,004,366810,32689,399499,.35418808,.00068584492,.35487396,3900,7979,33,3933,281.37735,1655.1393,301.87936,137409,23987,561,40600,68361,43707,1321,15354,49090,29900,6189,649,12352,19271,13807,1790,672,3002,229401,21,24008,1303.622991226614,19.75,1323.373,69048,9687,78735
01,005,725784,765013,1490797,.14184253,.012656587,.15449911,13685,17735,1876,15561,354.25699,3034.2007,647.92474,225693,43213,3869,100881,64045,19616,2064,24630,50216,15189,12894,1554,20579,13829,4427,4841,510,4051,500091,3201,46414,2048.750002894551,252.1300000000001,2300.8799,161648,239487,401135
01,007,522443,89713,612156,.38121319,.013878148,.39509133,9359,11165,789,10148,221.29257,2114.875,254.71585,171113,44864,2067,61209,53614,22523,1617,18309,40821,16527,8538,1311,14445,12793,5996,2627,306,3864,351330,1185,46049,2360.869991376996,42.42,2403.2898,117499,24739,142238
01,008,733530,104729,838259,.1860235,.010027902,.1960514,8671,41683,699,9370,1248.9139,2212.2729,1320.7703,185908,13330,2193,69850,91864,18922,4142,27117,64511,13127,27550,3133,20701,27353,5795,14133,1009,6416,547622,487,13817,587.3343042060733,47.34,634.67432,94044,24226,118270
01,010,437028,38630,475658,.31188798,.011671284,.32355925,5531,25202,321,5852,409.11414,1604.2358,435.46066,146725,17210,1073,37334,85577,35510,2696,22169,59375,21903,19786,1752,15934,26202,13607,5416,944,6235,290303,530,17740,1068.229999393225,24.08,1092.3099,61148,11766,72914
01,011,444191,80462,524653,.25167334,.010918419,.26259175,5939,23698,460,6399,837.68622,2087.2114,922.37048,145942,17411,2912,45610,74070,27449,5155,17768,46733,15700,14879,3311,12843,27337,11749,8819,1844,4925,298249,553,17964,530.259399369359,38.55,568.80939,71872,20907,92779
01,012,583955,52314,636269,.36963895,.0050361222,.37467507,5935,17668,207,6142,241.46796,2389.8584,260.73993,260509,41700,1501,54875,156498,92380,2851,43599,100114,56708,12361,2045,29000,56384,35672,5307,806,14599,323446,442,42142,2418.353991847485,21.89,2440.2439,104011,24858,128869
