lgd_state_id,lgd_district_id,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh
01,001,13,90,343,87,7,31,43,6,0,2,20,2,0
01,002,17,152,429,66,8,43,49,49,4,2,22,1,0
01,003,10,100,291,101,6,47,40,8,3,3,70,3,1
01,004,4,103,254,87,4,20,45,14,2,13,12,0,0
01,005,16,361,916,95,5,72,86,10,2,0,0,1,1
01,007,10,89,328,56,5,47,103,1,0,0,1,0,0
01,008,9,39,52,57,18,44,48,25,4,3,26,2,0
01,010,8,95,160,16,2,24,53,4,0,0,1,1,0
01,011,11,88,177,49,7,29,34,9,2,1,9,0,0
01,012,6,77,193,86,15,42,64,10,2,5,7,1,0
01,013,3,38,64,7,1,1,0,0,0,0,1,0,0
01,014,4,78,243,74,0,28,86,8,1,0,3,0,0
01,620,2,23,44,44,1,10,21,3,0,0,5,0,0
01,621,3,44,87,33,1,14,11,0,0,0,0,1,0
01,622,6,16,50,24,2,13,22,2,1,6,16,0,0
01,623,2,2,5,39,4,9,28,0,0,1,9,0,0
01,624,9,61,124,50,6,15,20,6,0,1,2,1,0
01,625,4,11,34,15,5,13,19,2,1,4,7,0,0
01,626,4,20,60,36,10,22,26,22,5,7,9,0,0
01,627,2,6,14,50,1,28,45,39,3,1,4,0,0
02,015,3,31,290,112,5,28,40,18,0,0,20,0,0
02,016,17,64,278,177,7,50,59,42,3,2,22,0,0
02,017,4,35,94,170,3,23,72,10,0,0,14,4,0
02,018,28,167,592,528,10,80,216,66,0,0,104,8,1
02,019,5,5,6,56,5,23,6,5,2,0,4,0,0
02,020,14,60,287,101,4,16,90,19,1,0,4,1,1
02,021,2,23,43,22,4,16,8,12,2,0,7,0,0
02,022,18,124,445,284,9,52,159,38,2,4,45,0,0
02,023,19,271,612,304,4,77,72,6,0,0,9,1,1
02,024,13,74,160,130,3,37,55,17,1,7,15,1,0
02,025,17,103,251,145,2,32,72,15,0,1,23,1,0
02,026,6,28,69,153,5,20,144,32,5,1,16,0,0
03,027,68,165,941,149,38,53,77,44,9,23,20,5,4
03,028,15,72,292,98,18,49,72,98,3,84,14,8,4
03,029,13,216,169,43,7,13,33,19,1,15,7,1,1
03,030,9,109,131,23,0,3,29,4,0,1,1,4,1
03,031,25,69,214,98,27,56,49,74,16,44,36,5,1
03,032,25,88,250,154,21,60,54,46,9,19,16,14,3
03,033,90,184,319,292,81,142,174,148,67,190,80,9,1
03,034,53,192,465,190,19,40,90,98,13,33,36,18,2
03,035,42,94,160,109,43,70,55,55,22,40,28,3,1
03,036,35,144,424,223,50,105,119,97,28,25,77,3,4
03,037,6,38,160,63,8,25,89,58,7,8,3,1,3
03,038,23,55,125,88,22,43,46,37,15,13,22,6,1
03,039,17,64,165,69,7,29,52,45,0,21,20,2,2
03,040,16,48,119,100,16,31,44,46,11,15,24,0,2
03,041,33,182,1574,156,36,53,73,61,8,26,22,4,3
03,042,10,73,212,58,24,14,29,44,4,7,22,9,1
03,043,25,97,302,146,31,65,53,59,3,15,18,28,3
03,605,12,53,166,48,7,9,27,27,4,6,13,7,2
03,608,5,67,178,74,16,19,24,51,7,21,38,1,1
03,609,67,77,148,70,48,48,71,40,50,80,19,2,1
03,651,16,60,174,84,11,29,48,32,5,6,17,1,1
03,662,15,51,130,60,15,31,24,15,4,10,5,3,1
04,044,6,1052,4094,51,0,0,0,0,0,0,0,0,6
05,045,46,104,354,24,4,8,136,57,0,11,44,3,2
05,046,16,35,55,6,2,14,84,14,1,8,25,2,2
05,047,27,90,161,25,3,7,94,40,0,3,40,0,6
05,048,13,49,79,6,1,7,65,19,1,10,15,3,4
05,049,65,243,632,74,8,54,162,52,15,17,40,60,5
05,050,21,151,638,36,2,1,169,135,2,9,43,22,4
05,051,41,344,695,25,4,19,129,57,6,18,46,5,7
05,052,107,179,752,43,4,72,1138,69,4,13,69,3,1
05,053,52,129,326,13,2,18,128,40,1,2,57,1,3
05,054,23,52,128,20,5,24,65,21,5,15,22,2,1
05,055,36,72,232,36,3,22,196,6,0,5,55,1,1
05,056,19,138,325,20,0,25,129,50,3,3,14,5,3
05,057,24,70,193,29,3,11,77,29,3,7,18,0,2
06,058,7,86,249,24,3,14,90,2,1,0,0,0,2
06,059,5,89,612,30,4,23,93,32,0,0,9,0,1
06,060,3,136,401,47,2,9,40,4,1,0,1,0,1
06,061,4,75,163,23,3,15,98,0,0,0,0,0,1
06,062,8,110,227,27,1,8,51,7,0,0,0,0,1
06,063,6,80,411,53,5,26,180,60,0,0,9,0,1
06,064,3,60,166,33,5,23,142,15,0,0,0,0,2
06,065,5,59,289,38,3,25,148,140,6,0,18,0,1
06,066,4,48,259,31,3,16,137,1,0,0,5,0,1
06,067,7,83,500,41,1,19,119,2,0,0,0,0,1
06,068,5,56,297,19,2,17,101,54,0,0,0,0,2
06,069,5,62,195,30,1,19,95,29,0,0,4,0,1
06,070,5,89,312,26,0,5,31,0,0,0,0,0,1
06,071,4,35,124,33,2,11,81,10,3,0,0,0,1
06,072,3,41,174,26,4,10,110,31,0,0,2,0,1
06,073,5,675,1163,36,3,18,102,15,0,0,5,0,1
06,074,6,62,294,40,4,16,136,73,0,0,2,0,1
06,075,5,320,408,32,4,24,165,25,17,0,3,0,1
06,076,8,100,181,26,2,12,105,27,0,0,0,0,1
06,604,7,78,190,32,0,7,79,0,0,0,2,0,1
06,619,4,62,230,26,2,8,86,0,0,0,8,0,1
06,701,1,11,31,24,3,9,57,19,0,0,7,0,0
07,077,0,0,0,0,0,0,0,0,0,0,0,0,0
07,078,6,80,164,14,0,0,0,0,0,1,0,10,0
07,079,0,0,0,0,0,0,0,0,0,0,0,0,0
07,080,0,0,0,11,1,2,2,0,0,1,0,4,0
07,081,0,0,0,29,0,0,0,0,0,0,0,8,0
07,082,7,263.0303030014038,714,43,0,0,0,0,0,0,0,11,2
07,083,2,14.60869562625885,60,21,0,0,0,0,0,0,0,3,3
07,084,3,110,89,29,5,1,5,1,0,3,7,1,0
07,085,0,0,0,10,1,0,0,1,0,0,1,13,0
08,086,33,424,1326,89,17,72,369,161,5,3,46,0,3
08,087,22,172,641,165,28,114,522,295,3,3,78,0,3
08,088,7,63,193,54,14,91,511,134,2,7,27,0,1
08,089,11,103,263,38,11,49,224,48,2,2,23,0,1
08,090,5,77,216,38,16,124,985,162,5,1,40,0,1
08,091,18,147,331,82,13,94,354,215,1,2,45,0,3
08,092,26,195,657,110,25,112,526,170,4,6,50,0,1
08,093,18,345,1495,109,14,64,405,214,2,4,73,0,1
08,094,14,84,239,52,14,46,204,72,2,2,18,0,1
08,095,20,90,349,52,17,77,371,79,1,3,28,0,1
08,096,19,175,391,90,10,88,431,191,5,1,36,0,2
08,097,9,59,160,45,8,53,246,134,2,0,35,0,1
08,098,8,60,200,25,5,42,152,57,1,0,13,0,1
08,099,10,112,279,55,18,82,503,132,6,1,33,0,1
08,100,23,157,328,56,3,60,434,88,0,0,46,0,2
08,101,8,92,281,85,16,50,335,195,4,2,64,0,1
08,102,32,172,406,196,36,137,541,325,12,3,107,0,0
08,103,4,71,164,20,4,29,300,34,3,1,11,0,1
08,104,8,59,168,59,15,77,528,255,6,0,72,0,1
08,105,20,230,402,38,8,53,276,52,0,2,15,0,2
08,106,39,150,455,134,26,104,516,208,3,8,62,0,2
08,107,20,377,1730,86,20,182,924,241,5,8,82,0,1
08,108,5,88,276,59,21,36,293,144,5,0,32,0,2
08,109,18,280,790,59,5,36,160,51,4,3,13,0,1
08,110,42,177,480,148,36,141,808,322,12,0,110,0,1
08,111,28,191,512,112,35,102,544,164,3,1,59,0,2
08,112,11,124,298,36,12,56,299,65,2,0,20,0,1
08,113,6,92,252,58,12,37,217,101,1,0,37,0,2
08,114,47,206,607,142,29,124,628,263,5,1,70,0,2
08,115,16,73,224,64,14,43,213,117,5,7,35,0,2
08,116,12,110,375,75,16,76,294,91,5,2,24,0,1
08,117,25,130,367,95,16,138,799,183,14,7,37,0,1
08,629,7,54,172,17,5,40,197,54,1,3,5,0,1
09,118,127,282,1772,66,19,41,26,66,7,32,57,28,0
09,119,18,100,122,23,13,30,10,55,7,3,46,119,0
09,120,32,137,214,57,19,53,20,45,7,23,27,4,1
09,121,12,66.14285714924335,143,11,7,20,40,32,1,3,56,18,0
