pc11_state_id,pc11_district_id,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_ag_main_share,pc11u_ag_main_share,pc11_ag_main_share,pc11r_pca_main_al_p,pc11r_pca_marg_al_p,pc11u_pca_main_al_p,pc11_pca_main_al_p,pc11r_pdensity,pc11u_pdensity,pc11_pdensity,pc11r_hl_dw_loc_inprem_no,pc11r_hl_dw_loc_nearprem_no,pc11r_hl_dw_loc_far_no,pc11u_hl_dw_loc_inprem_no,pc11u_hl_dw_loc_nearprem_no,pc11u_hl_dw_loc_far_no,pc11_tot_all_hosp,pc11_tot_all_hosp_doc_tot,pc11_tot_all_hosp_pmed_tot,pc11_tot_disp,pc11_tot_ch_cntr,pc11_tot_ph_cntr,pc11_tot_phs_cntr,pc11_tot_mcw_cntr,pc11_tot_tb_cln,pc11_tot_mh_cln,pc11_tot_fwc_cntr,pc11_tot_nh,pc11_tot_mh,pc11r_hl_dw_loc_inprem_sh,pc11r_hl_dw_loc_nearprem_sh,pc11r_hl_dw_loc_far_sh,pc11u_hl_dw_loc_inprem_sh,pc11u_hl_dw_loc_nearprem_sh,pc11u_hl_dw_loc_far_sh,pc11r_pca_tot_m,pc11r_pca_tot_f,pc11r_pca_p_06,pc11r_pca_m_06,pc11r_pca_f_06,pc11r_pca_p_sc,pc11r_pca_m_sc,pc11r_pca_f_sc,pc11r_pca_p_st,pc11r_pca_m_st,pc11r_pca_f_st,pc11r_pca_p_lit,pc11r_pca_m_lit,pc11r_pca_f_lit,pc11r_pca_p_ill,pc11r_pca_m_ill,pc11r_pca_f_ill,pc11r_pca_tot_work_p,pc11r_pca_tot_work_m,pc11r_pca_tot_work_f,pc11r_pca_mainwork_m,pc11r_pca_mainwork_f,pc11r_pca_main_cl_p,pc11r_pca_main_cl_m,pc11r_pca_main_cl_f,pc11r_pca_main_al_m,pc11r_pca_main_al_f,pc11r_pca_main_hh_p,pc11r_pca_main_hh_m,pc11r_pca_main_hh_f,pc11r_pca_main_ot_p,pc11r_pca_main_ot_m,pc11r_pca_main_ot_f,pc11r_pca_margwork_p,pc11r_pca_margwork_m,pc11r_pca_margwork_f,pc11r_pca_marg_cl_p,pc11r_pca_marg_cl_m,pc11r_pca_marg_cl_f,pc11r_pca_marg_al_m,pc11r_pca_marg_al_f,pc11r_pca_marg_hh_p,pc11r_pca_marg_hh_m,pc11r_pca_marg_hh_f,pc11r_pca_marg_ot_p,pc11r_pca_marg_ot_m,pc11r_pca_marg_ot_f,pc11r_pca_margwork36_p,pc11r_pca_margwork36_m,pc11r_pca_margwork36_f,pc11r_pca_marg_cl36_p,pc11r_pca_marg_cl36_m,pc11r_pca_marg_cl36_f,pc11r_pca_marg_al36_p,pc11r_pca_marg_al36_m,pc11r_pca_marg_al36_f,pc11r_pca_marg_hh36_p,pc11r_pca_marg_hh36_m,pc11r_pca_marg_hh36_f,pc11r_pca_marg_ot36_p,pc11r_pca_marg_ot36_m,pc11r_pca_marg_ot36_f,pc11r_pca_margwork03_p,pc11r_pca_margwork03_m,pc11r_pca_margwork03_f,pc11r_pca_marg_cl03_p,pc11r_pca_marg_cl03_m,pc11r_pca_marg_cl03_f,pc11r_pca_marg_al03_p,pc11r_pca_marg_al03_m,pc11r_pca_marg_al03_f,pc11r_pca_marg_hh03_p,pc11r_pca_marg_hh03_m,pc11r_pca_marg_hh03_f,pc11r_pca_marg_ot03_p,pc11r_pca_marg_ot03_m,pc11r_pca_marg_ot03_f,pc11r_pca_non_work_p,pc11r_pca_non_work_m,pc11r_pca_non_work_f,pc11r_pca_sex_2011,pc11u_pca_main_cl_p,pc11_slum_tot_p,pc11_pca_main_cl_p,pc11_urb_share,pc11r_pca_no_hh,pc11u_pca_no_hh,pc11_pca_no_hh,pc11_vd_area,pc11_td_area,pc11_area,pc11r_pca_mainwork_p,pc11u_pca_mainwork_p,pc11_pca_mainwork_p
01,001,733530,104729,838259,.1860235,.010027902,.1960514,8671,41683,699,9370,1248.9139,2212.2729,1320.7703,1852248.905792236,3535700.098503113,4308323.212341309,529559.4140625,349211.7998046875,321234.09765625,9,39,52,57,18,44,48,25,4,3,26,2,0,19.077059,36.415604,44.373161,44.133629,29.103409,26.77174,394554,338976,162986,86885,76101,743,741,2,66050,34551,31499,359084,228291,130793,374446,166263,208183,185908,153870,32038,84541,9503,13330,11161,2169,7773,898,2193,1565,628,69850,64042,5808,91864,69329,22535,18922,12729,6193,37229,4454,4142,2191,1951,27117,17180,9937,64511,49183,15328,13127,9437,3690,27550,24925,2625,3133,1648,1485,20701,13173,7528,27353,20146,7207,5795,3292,2503,14133,12304,1829,1009,543,466,6416,4007,2409,547622,240684,306938,298278,487,20475,13817,.12493633,97093,11999,109092,587.3343042060733,47.34,634.67432,94044,24226,118270
01,002,566744,97912,664656,.31477463,.021580152,.33635479,9278,19428,925,10203,981.59875,2241.5752,1070.2163,3643203.612136841,2812461.597358704,1258006.401275635,1047956.013671875,273636.8040771484,73233.00175476074,17,152,429,66,8,43,53,50,4,2,22,1,0,47.228462,36.459187,16.308094,75.143845,19.621168,5.251183,296611,270133,123057,67175,55882,86,78,8,15860,8212,7648,241737,148491,93246,325007,148120,176887,154595,115355,39240,80377,11060,27567,25621,1946,8727,551,12777,9455,3322,41815,36574,5241,63158,34978,28180,16815,7905,8910,13759,5669,12573,5303,7270,14342,8011,6331,47198,27507,19691,11875,5987,5888,14788,10635,4153,9232,4249,4983,11303,6636,4667,15960,7471,8489,4940,1918,3022,4640,3124,1516,3341,1054,2287,3039,1375,1664,412149,181256,230893,383240,1601,375175,29168,.1473123,77140,13946,91086,577.3683002814651,43.68,621.04828,91437,25615,117052
01,003,87816,45671,133487,.20014004,.0058643324,.20600438,462,748,131,593,237.41434,1902.1658,338.8898,154227.7982254028,832176.098449707,503960.0005722046,172275.5068359375,321938.015625,206116.892578125,1,47,111,29,6,21,62,3,0,2,0,0,0,10.347386,55.832008,33.811474,24.596731,45.964878,29.428453,48411,39405,9053,4684,4369,108,89,19,73789,36318,37471,56789,36062,20727,31027,12349,18678,48381,30929,17452,24929,9169,10971,6137,4834,227,235,460,164,296,22205,18401,3804,14283,6000,8283,9347,3288,6059,276,472,504,101,403,3684,2335,1349,12856,5337,7519,8552,2986,5566,602,222,380,441,85,356,3261,2044,1217,1427,663,764,795,302,493,146,54,92,63,16,47,423,291,132,39435,17482,21953,112046,204,7763,11175,.34213817,14905,7004,21909,369.8849998265505,24.01,393.89502,34098,23027,57125
01,004,124248,16338,140586,.078664504,.002834134,.081498638,504,3211,20,524,668.3252,7634.5796,747.60101,119407.0994415283,861279.9048614502,631092.5977554321,65949.1015625,78876,74274.90625,7,29,30,69,10,31,40,1,1,0,2,0,0,7.4083076,53.435905,39.154522,30.1,36,33.900002,67596,56652,18332,9276,9056,10,5,5,110625,56586,54039,73778,47604,26174,50470,19992,30478,44422,33669,10753,19803,3028,1772,1060,712,263,241,262,199,63,20293,18281,2012,21591,13866,7725,6047,3072,2975,1548,1663,856,254,602,11477,8992,2485,14385,9397,4988,3788,1912,1876,2244,1102,1142,611,168,443,7742,6215,1527,7206,4469,2737,2259,1160,1099,967,446,521,245,86,159,3735,2777,958,79826,33927,45899,117477,62,0,1834,.11621356,16118,2191,18309,185.9094991013408,2.14,188.0495,22831,6102,28933
01,005,437028,38630,475658,.31188798,.011671284,.32355925,5531,25202,321,5852,409.11414,1604.2358,435.46066,1254416.499755859,3240727.393554688,3787963.795967102,521651.5043945313,96270.705078125,103814.50390625,8,95,160,16,2,24,53,4,0,0,1,1,0,15.14447,39.125046,45.731785,72.290955,13.341284,14.38671,229181,207847,79998,42252,37746,278,248,30,169941,87008,82933,230848,144316,86532,206180,84865,121315,146725,105769,40956,52705,8443,17210,15039,2171,4656,875,1073,765,308,37334,32245,5089,85577,53064,32513,35510,21713,13797,19404,5798,2696,876,1820,22169,11071,11098,59375,39877,19498,21903,14879,7024,19786,15996,3790,1752,633,1119,15934,8369,7565,26202,13187,13015,13607,6834,6773,5416,3408,2008,944,243,701,6235,2702,3533,290303,123412,166891,159018,530,0,17740,.081213817,82830,7216,90046,1068.229999393225,24.08,1092.3099,61148,11766,72914
01,006,583955,52314,636269,.36963895,.0050361222,.37467507,5935,17668,207,6142,241.46796,2389.8584,260.73993,1377429.301567078,4156258.608795166,6589415.696708679,610039.30859375,78819.59765625,86612.80249023438,6,77,193,86,15,42,64,10,2,5,7,1,0,11.352003,34.253563,54.306282,78.653854,10.162403,11.1672,307532,276423,102167,54745,47422,45697,23696,22001,227288,118361,108927,318765,192593,126172,265190,114939,150251,260509,158819,101690,86133,17878,41700,33586,8114,5022,913,1501,987,514,54875,46538,8337,156498,72686,83812,92380,46527,45853,11002,6666,2851,763,2088,43599,14394,29205,100114,49283,50831,56708,30581,26127,12361,8100,4261,2045,552,1493,29000,10050,18950,56384,23403,32981,35672,15946,19726,5307,2902,2405,806,211,595,14599,4344,10255,323446,148713,174733,340896,442,3935,42142,.082219943,121338,7756,129094,2418.353991847485,21.89,2440.2439,104011,24858,128869
01,007,522443,89713,612156,.38121319,.013878148,.39509133,9359,11165,789,10148,221.29257,2114.875,254.71585,3719682.516700745,3489600.690238953,2878020.096931458,1535313.6796875,202470.802734375,55194.69958496094,10,89,328,56,5,47,103,1,0,0,1,0,0,36.870155,34.589542,28.527449,85.618652,11.291033,3.0780003,275872,246571,73785,40236,33549,119303,63105,56198,51976,27004,24972,317994,188436,129558,204449,87436,117013,171113,136722,34391,101613,15886,44864,37916,6948,8220,1139,2067,1535,532,61209,53942,7267,53614,35109,18505,22523,12225,10298,8381,2784,1617,756,861,18309,13747,4562,40821,27534,13287,16527,9431,7096,8538,6641,1897,1311,606,705,14445,10856,3589,12793,7575,5218,5996,2794,3202,2627,1740,887,306,150,156,3864,2891,973,351330,139150,212180,440596,1185,8363,46049,.14655252,100886,17932,118818,2360.869991376996,42.42,2403.2898,117499,24739,142238
01,008,792908,182500,975408,.25240281,.015739594,.2681424,17192,39832,1375,18567,837.25488,2871.3027,965.18378,5794327.316116333,3724660.286903381,2468770.201660156,2200652.859375,400590.5002441406,126537.5014648438,10,100,291,101,6,47,36,7,3,3,70,3,1,48.336411,31.071201,20.594538,80.642487,14.67956,4.6369419,413243,379665,137502,73685,63817,198,179,19,30822,16300,14522,406463,249006,157457,386445,164237,222208,224830,180800,44030,111246,12863,28030,25783,2247,16277,915,6896,4916,1980,71991,64270,7721,100721,69554,31167,24951,13949,11002,32489,7343,6767,3096,3671,29171,20020,9151,74304,53594,20710,16645,10091,6554,28978,24665,4313,5133,2349,2784,23548,16489,7059,26417,15960,10457,8306,3858,4448,10854,7824,3030,1634,747,887,5623,3531,2092,568078,232443,335635,464320,1445,70754,29475,.18710119,119875,27289,147164,947.033001460135,63.56,1010.593,124109,55057,179166
01,009,316077,65361,381438,.25596079,.018325813,.2742866,8320,20212,839,9159,1087.8014,1316.9656,1121.2334,1273517.592941284,1557043.794906616,1914030.893013,596644.296875,238123.2890625,124809.103515625,2,2,5,39,4,9,28,0,0,1,9,0,0,26.843109,32.819252,40.3438,62.163399,24.809677,13.003657,165524,150553,52817,27919,24898,64,64,0,72199,37634,34565,143910,89652,54258,172167,75872,96295,118459,78679,39780,47897,8317,10005,9134,871,6909,1411,7681,5585,2096,30208,26269,3939,62245,30782,31463,14131,5416,8715,11918,8294,8538,3485,5053,19364,9963,9401,43779,23862,19917,8810,3859,4951,14069,8965,5104,6503,2976,3527,14397,8062,6335,18466,6920,11546,5321,1557,3764,6143,2953,3190,2035,509,1526,4967,1901,3066,197618,86845,110773,100366,473,47545,10478,.17135419,47443,9598,57041,290.5650020092726,49.63,340.19501,56214,15379,71593
01,010,8092,1219516,1227608,.00068399246,.038112059,.038796052,78,140,6243,6321,1019.1436,76554.68,51428.906,111016.2998046875,19579.59985351563,4604.10009765625,17798129.8046875,807335.0502929688,277935.4000244141,3,38,64,7,1,1,0,0,0,0,1,0,0,82.112648,14.481953,3.4053996,94.252785,4.2753692,1.4718504,4264,3828,1231,659,572,0,0,0,3088,1628,1460,3731,2308,1423,4361,1956,2405,2278,1972,306,1255,72,147,134,13,74,4,47,46,1,1055,1001,54,951,717,234,121,101,20,129,11,142,32,110,548,455,93,659,538,121,105,88,17,92,87,5,47,27,20,415,336,79,292,179,113,16,13,3,48,42,6,95,5,90,133,119,14,5814,2292,3522,4399,6294,686250,6441,.99340832,1352,188834,190186,7.939999938011169,15.93,23.870001,1327,327624,328951
