pc11_state_id,pc11_district_id,pc11_urb_share,pc11_slum_pop,pc11_vd_area,pc11_td_area,pc11_tot_area,pc11_pop_dens,pc11r_pca_tot_p,pc11u_pca_tot_p,pc11_pca_tot_p,pc11r_pca_tot_m,pc11u_pca_tot_m,pc11_pca_tot_m,pc11r_pca_tot_f,pc11u_pca_tot_f,pc11_pca_tot_f,pc11r_pca_p_lit,pc11u_pca_p_lit,pc11_pca_p_lit,pc11r_pca_m_lit,pc11u_pca_m_lit,pc11_pca_m_lit,pc11r_pca_f_lit,pc11u_pca_f_lit,pc11_pca_f_lit,pc11r_pca_p_sc,pc11u_pca_p_sc,pc11_pca_p_sc,pc11r_pca_m_sc,pc11u_pca_m_sc,pc11_pca_m_sc,pc11r_pca_f_sc,pc11u_pca_f_sc,pc11_pca_f_sc,pc11r_pca_p_st,pc11u_pca_p_st,pc11_pca_p_st,pc11r_pca_m_st,pc11u_pca_m_st,pc11_pca_m_st,pc11r_pca_f_st,pc11u_pca_f_st,pc11_pca_f_st
01,000,,0,0,316.31,316.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,001,.1203292,20475,615.9537018013001,47.34,663.2937,1312.1698,765625,104729,870354,412038,62152,474190,353587,42577,396164,374998,64656,439654,238785,44038,282823,136213,20618,156831,872,176,1048,870,176,1046,2,0,2,68491,1861,70352,35855,1058,36913,32636,803,33439
01,002,.12990069,37610.90380859375,672.8101007330417,43.68,716.49011,1051.9963,655833,97912,753745,343385,54656,398041,312448,43256,355704,278265,57384,335649,170641,37100,207741,107624,20284,127908,86,282,368,78,265,343,8,17,25,23293,619,23912,12025,358,12383,11268,261,11529
01,003,.34213817,7763,369.8849994277954,24.01,393.89499,338.8898,87816,45671,133487,48411,30560,78971,39405,15111,54516,56789,36981,93770,36062,26772,62834,20727,10209,30936,108,380,488,89,355,444,19,25,44,73789,22068,95857,36318,11225,47543,37471,10843,48314
01,004,.11603528,0,186.6180999279022,2.14,188.7581,745.93884,124464,16338,140802,67703,10082,77785,56761,6256,63017,73896,12340,86236,47674,8627,56301,26222,3713,29935,10,8,18,5,7,12,5,1,6,110840,11496,122336,56693,5959,62652,54147,5537,59684
01,005,.081013352,0,1125.57,24.08,1149.65,414.76535,438205,38630,476835,229774,22125,251899,208431,16505,224936,231541,30183,261724,144716,18617,163333,86825,11566,98391,278,278,556,248,158,406,30,120,150,171011,5090,176101,87542,2732,90274,83469,2358,85827
01,006,.081433341,3935,2496.801990447044,21.89,2518.6919,255.05899,590101,52314,642415,310748,34603,345351,279353,17711,297064,321210,42899,364109,194113,30356,224469,127097,12543,139640,46141,2016,48157,23907,1263,25170,22234,753,22987,229692,3123,232815,119658,1716,121374,110034,1407,111441
01,007,.14553522,8363,2397.14,42.42,2439.5601,252.68286,526722,89713,616435,278126,47983,326109,248596,41730,290326,320364,68840,389204,189875,38624,228499,130489,30216,160705,119693,21531,141224,63321,11323,74644,56372,10208,66580,52019,1288,53307,27022,671,27693,24997,617,25614
01,008,.18104458,70754,974.8099995136261,63.56,1038.37,970.78979,825539,182500,1008039,432399,102334,534733,393140,80166,473306,423193,121956,545149,260880,76290,337170,162313,45666,207979,323,1153,1476,304,1147,1451,19,6,25,36169,1536,37705,19147,1090,20237,17022,446,17468
01,009,.16663863,47545,295.239000787735,49.63,344.86899,1137.3363,326871,65361,392232,172263,35417,207680,154608,29944,184552,148187,37792,185979,93233,23825,117058,54954,13967,68921,105,287,392,105,270,375,0,17,17,74515,859,75374,38899,499,39398,35616,360,35976
