,bad_flg_covaxin,bad_flg_covishield,female_vac,first_dose_admin,lgd_district_id,lgd_state_id,male_vac,second_dose_admin,total_covaxin,total_covishield,total_individuals_registered,total_sessions_conducted,total_sites,trans_vac
78,1.0,,13001,40534,1,1,27528,8634,0,49168,40534,6900,66,5
367,1.0,,14186,46012,2,1,31824,10473,0,56485,46012,13400,78,2
656,1.0,,32918,87839,3,1,54835,10808,0,98647,87839,23700,183,86
945,1.0,,11573,29863,4,1,18286,6310,0,36173,29863,1800,16,4
1234,1.0,,63477,165951,5,1,102456,30710,0,196661,165951,8200,77,18
1523,1.0,,17201,42277,7,1,25072,7562,0,49839,42277,4900,44,4
1812,1.0,,6987,26594,8,1,19604,7121,0,33715,26594,9700,66,3
2101,1.0,,7919,24438,10,1,16518,5786,0,30224,24438,5300,51,1
2390,1.0,,10302,35225,11,1,24920,6734,0,41959,35225,5200,52,3
2679,1.0,,12220,32043,12,1,19823,7817,0,39860,32043,4950,47,0
2968,1.0,,7854,53100,13,1,45245,18060,0,71160,53100,5400,53,1
3257,1.0,,13630,37209,14,1,23572,8358,0,45567,37209,6150,27,7
3546,1.0,,3373,13014,620,1,9640,3954,0,16968,13014,800,8,1
3835,,,4692,14988,621,1,10296,3673,0,18661,14988,1400,14,0
4124,1.0,,6707,21127,622,1,14418,5403,0,26530,21127,8900,45,2
4413,1.0,,3432,14172,623,1,10739,3659,0,17831,14172,2100,20,1
4702,1.0,,11297,31298,624,1,19996,5893,0,37191,31298,2100,21,5
4991,1.0,,4676,14415,625,1,9738,2637,0,17052,14415,3400,33,1
5280,1.0,,4917,15657,626,1,10740,2682,0,18339,15657,6000,59,0
5569,1.0,,5900,19117,627,1,13213,5263,0,24380,19117,3400,34,4
5858,1.0,,19053,37938,15,2,18880,4586,0,42524,37938,1600,10,5
6147,1.0,,19017,37136,16,2,18115,6072,0,43208,37136,5750,53,4
6436,,,27173,51126,17,2,23943,5937,0,57063,51126,1150,8,10
6725,1.0,,51663,104962,18,2,53282,16714,2,121674,104962,3450,31,17
7014,1.0,,5215,11179,19,2,5963,2259,0,13438,11179,400,4,1
7303,1.0,,15954,31444,20,2,15488,5803,0,37247,31444,1350,10,2
7592,,,1764,3597,21,2,1832,726,0,4323,3597,200,2,1
7881,1.0,,47984,90021,22,2,42028,15146,0,105167,90021,3700,37,9
8170,1.0,,30407,66532,23,2,36118,15035,0,81567,66532,2900,24,7
8459,1.0,,14665,29427,24,2,14761,6455,0,35882,29427,1850,14,1
8748,1.0,,12574,31046,25,2,18471,6585,0,37631,31046,3550,33,1
9037,,,22618,45077,26,2,22446,6386,0,51463,45077,1050,8,13
9326,,,44205,107258,27,3,63045,15343,13207,109394,107258,24650,228,8
9615,,,12515,34724,28,3,22209,4225,2529,36420,34724,6500,60,0
9904,,,8680,21086,29,3,12394,3651,320,24417,21086,8500,85,12
10193,,,4073,10813,30,3,6740,1466,509,11770,10813,1700,17,0
10482,,,8268,24184,31,3,15913,3615,4958,22841,24184,10250,102,3
