pc11_state_id,pc11_district_id,dlhs4_dh_beds,dlhs4_dh_count,dlhs4_dh_staff,dlhs4_dh_icu_beds,dlhs4_chc_beds,dlhs4_chc_count,dlhs4_chc_staff,dlhs4_chc_beds_ven,dlhs4_phc_beds,dlhs4_phc_count,dlhs4_phc_staff,dlhs4_phc_pop,dlhs4_phc_beds_oxy,pc11_pca_tot_p,dlhs4_phc_mult,dlhs4_total_beds,dlhs4_total_staff,dlhs4_total_facilities
02,023,200,1,42,0,165,8,86,0,68,16,41,157586,38,519080,3.2939475,588.9884,263.05185,61.703159
02,024,300,1,53,0,262,11,183,30,71,19,100,867424,60,1510075,1.740873,685.60199,410.08731,45.076588
02,025,70,1,17,1,21,2,26,0,33,8,27,24337,13,31564,1.2969552,133.79953,78.017792,13.375642
02,026,200,1,68,2,105,6,101,0,24,5,31,91380,12,437903,4.79211,420.01065,317.55542,30.96055
02,027,300,1,92,3,303,10,178,0,50,14,65,207184,30,999777,4.825551,844.27753,583.66083,78.557716
02,028,210,1,99,2,186,6,118,0,60,13,84,197273,30,454768,2.3052723,534.31635,410.64288,36.96854
02,029,180,1,51,4,78,4,45,0,87,10,40,234285,61,521173,2.2245257,451.53372,184.98103,27.245256
02,030,270,1,82,2,116,7,97,0,44,9,30,108893,6,381956,3.5076268,540.33557,284.22879,39.568642
02,031,180,1,62,2,71,5,104,0,81,15,54,295804,30,580320,1.9618396,409.909,271.93933,35.427593
02,032,200,1,65,0,62,4,49,0,32,9,27,125847,12,529855,4.2103109,396.72995,227.67839,42.892799
02,033,120,1,81,0,442,10,174,0,73,15,43,182299,26,814010,4.4652467,887.96301,447.00562,77.978699
02,034,100,1,26,2,94,4,51,0,63,16,47,27422,33,84121,3.0676465,387.26172,221.17938,54.082344
03,035,292,3,255,31,279,12,369,0,0,0,0,,,2298323,0,571,624,15
03,036,300,4,156,30,75,3,88,0,28,8,48,158138,25,815168,5.154789,519.33411,491.42987,48.238312
03,037,530,3,259,16,180,6,185,30,184,10,206,976973,178,2193590,2.2452924,1123.1338,906.53021,31.452925
03,038,510,5,257,19,189,12,301,0,103,12,101,251120,95,1586625,6.3181944,1349.774,1196.1376,92.818329
03,039,94,2,91,0,76,4,111,30,31,10,64,183983,29,612310,3.3280792,273.17047,414.99707,39.280792
03,040,118,2,78,8,125,4,73,0,24,3,45,246089,16,600163,2.4388046,301.53131,260.74622,13.316414
03,041,412,6,274,32,197,9,311,8,0,0,0,,,3498739,0,609,585,15
03,042,120,1,75,10,150,5,127,0,113,19,166,762006,76,995746,1.306743,417.66196,418.91934,30.828117
03,043,315,4,163,12,196,7,202,0,105,20,157,511626,94,2029074,3.9659321,927.42285,987.65137,90.318642
03,044,154,3,77,10,115,4,93,0,36,10,60,220603,27,901896,4.0883217,416.17957,415.29932,47.883217
03,045,150,2,77,3,40,2,40,0,55,9,78,508605,47,617508,1.214121,256.77664,211.70143,14.927089
03,046,325,3,125,10,135,7,194,49,57,3,38,32709,57,1388525,42.450855,2879.6987,1932.1324,137.35257
03,047,150,2,63,0,63,3,62,0,0,0,0,,,769751,0,213,125,5
03,048,582,4,276,25,134,7,244,55,69,6,141,1001977,62,1895686,1.8919456,846.54425,786.76434,22.351673
03,049,182,3,231,8,155,6,177,0,107,13,145,468220,71,2490656,5.3194141,906.17731,1179.3151,78.152382
03,050,180,2,64,10,250,9,241,0,44,12,134,564428,28,1119627,1.9836489,517.28058,570.80896,34.803787
03,051,170,2,113,11,106,5,125,0,43,9,55,171616,33,684627,3.989296,447.53973,457.41129,42.903664
03,052,170,2,140,11,110,3,91,0,37,10,78,465600,20,994628,2.1362286,359.04047,397.62582,26.362286
03,053,265,4,148,4,229,9,240,80,0,0,0,,,1655169,0,494,388,13
03,054,100,1,55,0,46,3,77,0,41,8,57,118612,37,595527,5.0207987,351.85275,418.18552,44.166389
04,055,550,1,492,20,75,2,65,25,0,0,0,,,1055450,0,625,557,3
05,056,108,1,54,0,58,3,78,0,12,3,39,101981,12,330086,3.2367401,204.84088,258.23285,13.71022
05,057,75,1,60,4,98,5,125,0,26,5,48,151113,22,391605,2.5914712,240.37825,309.39063,18.957355
05,058,72,1,27,0,60,2,29,0,4,1,11,53476,4,242285,4.530724,150.12289,105.83797,7.530724
05,059,158,2,60,3,82,3,57,0,40,7,86,525997,40,618931,1.1766816,287.06726,218.19463,13.236772
05,060,688,6,417,14,130,7,156,0,42,12,73,603950,38,1696694,2.8093286,935.99182,778.08099,46.711945
05,061,871,5,174,16,162,5,92,0,47,10,131,403970,47,687271,1.7012922,1112.9607,488.86926,27.012922
05,062,182,2,94,0,118,4,86,0,16,4,44,197021,16,483439,2.4537435,339.25989,287.96472,15.814974
05,063,60,1,28,0,44,2,38,0,16,4,18,38332,12,259898,6.7801838,212.48294,188.0433,30.120735
05,064,365,4,180,4,104,5,70,0,47,11,90,410109,33,622506,1.5179038,540.34149,386.61133,25.696941
05,065,34,2,25,0,46,2,78,0,12,3,11,152200,8,259648,1.7059659,100.47159,121.76563,9.117898
05,066,1222,8,465,34,134,8,172,0,21,4,49,391474,21,954605,2.438489,1407.2083,756.48596,25.753956
05,067,211,2,162,4,192,7,235,0,70,17,96,645870,50,1648902,2.5529935,581.70953,642.0874,52.40089
05,068,314,4,141,10,163,7,107,0,12,3,8,64288,4,1890422,29.405519,829.86621,483.24414,99.21656
06,069,150,1,159,0,40,2,65,0,30,7,62,282584,24,561293,1.9862872,249.58862,347.14981,16.904011
06,070,325,3,204,4,63,4,75,0,67,10,90,440426,61,1128350,2.5619514,559.65076,509.57562,32.619514
06,071,160,2,95,0,85,6,99,0,42,10,65,458311,42,1214205,2.6493037,356.27075,366.20474,34.493038
06,072,100,1,74,0,111,5,112,0,68,14,104,455098,68,964655,2.1196644,355.13718,406.4451,35.675301
06,073,150,2,79,0,47,5,88,0,64,13,74,810177,58,1074304,1.3260114,281.86475,265.12485,24.238148
06,074,260,3,133,0,92,5,121,0,118,17,114,722158,118,1505324,2.08448,597.96863,491.63074,43.436161
06,075,100,1,89,0,42,3,68,0,32,11,107,730572,30,1205437,1.6499907,194.7997,333.54901,22.149897
06,076,150,2,129,13,77,6,210,0,69,15,163,1091810,64,1450001,1.3280708,318.63687,555.47552,27.921061
06,077,150,2,101,0,115,7,154,0,56,17,115,656011,56,1334152,2.0337341,378.8891,488.87943,43.573479
06,078,150,2,111,0,108,4,123,0,67,10,69,385925,67,942011,2.4409173,421.54144,402.42328,30.409172
06,079,150,2,80,6,157,7,123,0,74,12,81,426043,69,1295189,3.0400429,531.9632,449.24347,45.480515
06,080,305,3,123,0,193,8,199,0,122,19,160,609123,114,1743931,2.8630195,847.28839,780.08313,65.397369
06,081,480,5,179,17,150,9,180,0,87,14,78,582325,87,1634445,2.8067575,874.18793,577.92706,53.294605
06,082,100,1,80,4,144,5,163,0,71,14,146,409223,71,1061204,2.5932169,428.11841,621.60968,42.305038
06,083,300,2,139,8,93,6,121,0,63,15,113,411348,63,958405,2.3299129,539.78448,523.28015,42.948692
06,084,155,2,80,0,125,7,123,0,56,9,37,304652,50,922088,3.0266929,449.49481,314.98764,36.240234
06,085,150,2,144,0,70,5,107,0,43,9,78,356813,43,900332,2.5232601,328.50018,447.8143,29.709341
06,086,230,2,111,10,25,3,52,0,31,9,83,646989,27,1514432,2.3407383,327.5629,357.28128,26.066645
06,087,100,1,35,3,70,3,48,0,34,6,23,582345,31,1089263,1.8704771,233.59622,126.02097,15.222862
06,088,250,2,147,18,16,2,40,0,26,5,51,352772,26,1809733,5.1300359,399.38092,448.63184,29.650179
06,089,50,1,38,0,48,4,94,0,38,8,40,578142,38,1042708,1.80355,166.5349,204.142,19.4284
08,099,276,1,176,6,455,12,222,0,141,24,105,675679,116,1969168,2.9143543,1141.924,704.0072,82.944504
08,100,150,1,58,0,352,14,238,34,115,20,94,598565,109,1774692,2.964911,842.96478,574.70166,74.298218
08,101,100,1,68,0,393,11,171,0,108,17,87,460933,105,2363937,5.1285915,1046.8879,685.18744,99.186058
08,102,500,3,291,44,335,10,186,0,123,22,103,471527,76,2039547,4.3254089,1367.0253,922.51709,108.159
08,103,335,1,142,30,491,21,412,0,219,37,246,790826,160,2137045,2.7022948,1417.8026,1218.7645,121.98491
08,104,463,1,208,64,961,28,620,0,175,35,252,1113399,132,3674179,3.2999661,2001.494,1659.5914,144.49881
08,105,204,1,198,5,439,14,278,0,215,35,235,995974,100,2548462,2.5587635,1193.1342,1077.3094,104.55672
08,106,360,1,137,10,265,7,128,0,63,11,91,312113,48,1206516,3.8656385,868.53522,616.77313,50.522022
08,107,316,2,259,10,206,7,116,0,71,13,89,542933,53,1458248,2.6858709,712.69684,614.04248,43.916321
08,108,345,2,203,10,153,7,109,0,61,10,77,399475,47,1335551,3.3432655,701.93921,569.43146,42.432655
08,109,154,1,81,5,320,10,213,0,125,21,168,729860,94,1634409,2.2393458,753.91821,670.21008,58.02626
08,110,413,3,424,10,710,22,517,48,135,22,172,648583,112,6626178,10.216392,2502.2129,2698.2192,249.76062
08,111,267,1,171,5,705,22,488,0,177,32,209,873753,126,2677333,3.0641761,1514.3591,1299.4128,121.05363
08,112,1350,4,200,6,563,24,359,0,178,35,173,943823,141,3307743,3.5046222,2536.8228,1165.2997,150.66177
08,113,110,2,132,4,613,20,348,15,126,23,169,619843,75,3687165,5.9485469,1472.517,1485.3044,158.81657
08,114,116,1,59,4,280,7,93,0,58,11,42,212996,37,669919,3.1452186,578.42267,284.09918,42.597404
08,115,396,2,194,8,503,17,300,0,160,28,137,659081,49,2603751,3.9505782,1531.0925,1035.2292,129.6162
08,116,155,1,82,0,305,8,139,0,156,30,149,724000,94,1828730,2.5258701,854.03571,597.35461,84.7761
08,117,104,1,80,3,226,7,152,0,103,18,108,520263,91,1036346,1.9919657,535.17249,447.13229,43.855381
08,118,297,2,280,20,567,17,346,75,186,31,201,604828,162,2037573,3.3688469,1490.6055,1303.1382,123.43425
08,119,757,5,406,5,375,14,204,0,102,18,100,597910,96,2583052,4.3201351,1572.6538,1042.0135,96.762436
08,120,200,1,96,6,301,7,191,0,143,25,148,647982,98,1421326,2.1934652,814.66553,611.63287,62.836632
08,121,241,1,120,6,270,9,175,0,124,17,129,500242,118,1110906,2.2207372,786.3714,581.4751,47.752533
08,122,436,1,198,12,643,18,360,100,93,16,107,400118,78,2408523,6.0195317,1638.8164,1202.0898,115.31251
08,123,259,2,106,8,305,8,156,0,124,18,128,393448,110,1156597,2.9396439,928.51587,638.27441,62.913589
08,124,307,2,185,4,350,11,171,0,168,27,206,798287,116,1388552,1.7394146,949.22162,714.3194,59.964195
08,125,291,1,85,4,574,19,336,75,106,17,135,558241,71,1797485,3.2199087,1206.3103,855.68768,74.738449
08,126,568,3,284,22,724,21,367,0,125,24,125,621753,90,1544338,2.4838448,1602.4806,961.48059,83.612274
08,127,100,1,63,0,302,11,294,50,100,15,102,450705,89,1951014,4.328805,834.88049,798.53809,76.932076
08,128,205,1,97,8,350,9,151,50,149,26,135,584817,89,1222755,2.0908334,866.53418,530.26251,64.361671
08,129,519,1,60,85,1049,14,273,0,117,21,126,527564,70,1411129,2.6748016,1880.9518,670.02502,71.17083
08,130,151,2,104,10,691,22,379,0,100,20,113,552665,85,3068420,5.5520434,1397.2043,1110.3809,135.04086
09,132,521,2,165,0,365,14,305,0,46,12,59,401975,4,3466382,8.6233768,1282.6753,978.77924,119.48052
09,133,255,2,104,14,343,17,293,0,76,23,128,819458,29,4143512,5.0564055,982.2868,1044.22,135.29733
09,134,154,2,56,0,312,19,231,0,50,16,78,994062,20,3682713,3.7047117,651.2356,575.96753,80.275391
09,135,265,2,120,34,267,13,273,0,60,17,71,784923,18,4772006,6.0795851,896.77509,824.65051,118.35294
09,136,210,2,62,0,170,8,163,0,81,18,98,892899,32,2335819,2.6159947,591.89557,481.36749,57.087906
09,137,100,1,20,0,195,6,144,0,44,11,39,472897,8,1840221,3.8913779,466.22064,315.76373,49.805157
09,138,436,2,123,20,115,11,210,0,54,13,72,532885,42,3443689,6.4623494,899.96686,798.28918,97.010544
09,139,100,1,28,0,157,7,110,0,82,18,94,700264,39,1303048,1.8607954,409.58524,312.91476,41.494316
09,140,326,3,213,27,260,11,195,0,59,19,80,975070,8,4681645,4.8013425,869.27924,792.10742,105.22551
09,141,100,1,55,0,151,8,134,0,61,17,89,851502,41,1648115,1.9355386,369.06787,361.26294,41.904156
09,142,361,5,124,8,372,17,239,0,50,15,80,535511,16,3499171,6.5342655,1059.7133,885.74121,120.01398
09,143,742,5,234,53,476,19,349,0,131,26,117,1069822,73,3673889,3.4341123,1667.8687,984.79114,113.28692
09,145,234,3,111,0,280,11,153,0,57,15,85,784914,22,2547184,3.2451758,698.97504,539.83997,62.677639
09,146,308,2,188,16,406,19,285,0,70,18,93,914377,20,4418797,4.8325768,1052.2804,922.42963,107.98638
09,147,354,3,84,20,197,10,128,0,49,15,52,459458,16,2498156,5.4371805,817.42188,494.7334,94.557709
09,148,130,2,109,8,153,10,153,0,79,22,78,770872,18,1868529,2.4239161,474.48938,451.06546,65.326157
09,149,313,2,69,32,318,18,450,0,18,6,30,182250,0,3681896,20.202448,994.64404,1125.0735,141.21469
09,150,439,2,141,10,285,16,320,0,55,21,99,876756,12,4448359,5.0736566,1003.0511,963.29199,124.54679
09,151,200,2,73,6,190,8,179,0,34,6,31,107517,0,2031007,18.8901,1032.2634,837.59314,123.34061
09,152,312,2,130,20,176,14,252,0,23,6,38,357109,12,3006538,8.4191046,681.6394,701.92596,66.514626
09,153,219,2,131,0,343,14,214,0,80,21,112,1322072,33,4021243,3.0416217,805.32971,685.66162,79.874054
09,154,347,2,110,0,366,14,349,0,34,14,84,1402655,13,4483992,3.196789,821.69086,727.53027,60.755047
09,155,248,2,88,17,252,15,284,0,31,7,36,400662,17,4092845,10.215206,816.67139,739.74744,88.506439
09,156,170,2,95,13,345,16,400,0,27,10,66,615979,24,3108367,5.0462222,651.24799,828.05066,68.462219
09,157,982,2,273,0,230,8,201,0,55,15,80,753409,16,4589838,6.0920935,1547.0652,961.36749,101.3814
09,158,367,2,103,0,451,18,445,0,48,17,88,772589,20,3405559,4.4079828,1029.5831,935.90247,94.935707
09,159,220,3,126,8,188,8,119,0,46,9,29,262900,0,1885204,7.1708026,737.85693,452.95328,75.537224
09,160,100,1,44,0,209,10,155,0,93,23,81,795627,22,1656616,2.0821517,502.64011,367.6543,58.889488
09,161,141,2,73,12,201,9,122,0,56,15,58,484172,19,1581810,3.2670414,524.95435,384.4884,60.005623
09,162,50,1,36,6,123,7,122,0,72,20,87,776938,16,1379545,1.7756178,300.84448,312.47876,43.512356
09,163,100,2,48,5,216,15,237,0,35,9,50,298646,8,1796184,6.0144253,526.50488,585.72125,71.129829
09,164,726,3,235,23,240,10,247,0,78,21,121,701527,34,4581268,6.5304227,1475.3729,1272.1812,150.13887
09,165,163,2,58,12,184,12,162,0,14,5,24,133557,6,1689974,12.653579,524.15009,523.68591,77.267891
09,166,169,2,75,0,204,8,166,0,44,12,60,457034,12,1998603,4.3729854,565.41138,503.37912,62.475822
09,167,200,2,41,6,132,6,163,0,67,12,57,332500,51,1221592,3.6739609,578.1554,413.41577,52.087532
09,168,98,2,70,0,152,8,143,0,65,14,56,348460,51,1104285,3.1690438,455.98785,390.46646,54.366611
09,169,100,2,30,4,110,5,74,0,30,9,60,310825,26,875958,2.818171,294.54514,273.09027,32.363541
09,170,133,2,57,0,153,11,140,0,69,19,82,476055,20,1799410,3.7798364,546.80872,506.94659,84.816895
09,171,100,1,30,0,109,5,76,0,66,16,73,497270,22,991730,1.9943491,340.62704,251.58748,37.909584
09,172,190,2,68,4,190,15,237,0,65,17,68,497348,14,2632733,5.2935429,724.08026,664.96094,106.99023
09,173,182,2,111,24,694,31,609,0,60,17,70,912315,24,3209141,3.51758,1087.0548,966.23059,92.798859
09,174,100,1,34,0,157,9,146,0,69,17,78,694692,13,1599596,2.3025975,415.87924,359.6026,49.144157
09,175,302,2,137,2,530,20,532,0,44,10,36,413421,4,5954391,14.40273,1465.7201,1187.4983,166.0273
09,176,213,2,100,5,425,15,417,0,96,24,192,1194879,72,3260699,2.7288947,899.97388,1040.9478,82.493469
09,177,255,2,87,40,330,12,332,0,30,7,41,759070,0,2470996,3.2552941,682.65881,552.46704,36.78706
09,178,100,1,62,6,271,11,350,0,50,11,66,423474,6,2397888,5.6624207,654.12103,785.71979,74.286629
09,179,308,2,94,50,502,21,579,4,35,13,57,182133,5,3797117,20.848045,1539.6816,1861.3386,294.0246
09,180,293,2,104,0,221,17,233,0,72,19,86,786376,6,3487731,4.435195,833.33405,718.42676,103.26871
09,181,0,0,0,,152,6,112,0,27,8,41,300433,5,1117361,3.7191687,252.41756,264.4859,35.753349
09,182,145,2,34,0,140,7,132,0,41,11,60,480890,22,2148665,4.468101,468.19214,434.08606,58.149113
09,183,308,2,92,10,249,17,271,0,81,20,76,717977,4,3433919,4.7827702,944.40436,726.49054,114.6554
09,184,100,1,46,12,229,14,232,0,55,18,74,641485,4,2559297,3.9896443,548.43042,573.2337,86.813599
09,185,641,3,273,22,172,14,205,0,53,13,79,509940,12,2464464,4.8328509,1069.1411,859.79523,79.827065
09,186,40,1,33,0,161,9,140,0,33,8,36,209367,4,1715183,8.1922321,471.34366,467.92035,75.537857
09,187,100,1,60,10,247,16,231,0,22,6,33,410203,4,2684703,6.5448155,490.98593,506.97891,56.268894
09,188,510,2,173,9,446,23,405,0,85,29,116,1417157,32,4440895,3.1336648,1222.3616,941.50513,115.87628
09,189,100,1,51,0,385,16,341,0,39,10,71,601332,16,3564544,5.9277472,716.18213,812.87006,76.277473
09,190,311,2,99,12,405,24,329,0,46,13,79,805014,12,3100946,3.8520398,893.19385,732.31116,76.076515
09,191,312,2,118,30,507,25,411,0,101,30,146,1073484,4,4613913,4.2980733,1253.1053,1156.5187,155.9422
09,192,200,2,54,0,204,10,205,0,71,21,96,799976,12,2205968,2.7575426,599.78552,523.72412,69.908394
09,193,230,2,101,0,377,24,399,0,59,23,103,811982,8,3239774,3.9899578,842.40753,910.96564,117.76903
09,194,255,2,103,0,446,22,348,0,52,16,59,602245,8,4494204,7.4624181,1089.0458,891.28265,143.39868
09,195,245,2,121,4,265,18,261,0,53,14,78,517922,0,3620268,6.9899869,880.4693,927.21899,117.85982
09,196,200,2,97,0,192,12,296,0,70,18,107,851000,17,1952756,2.2946603,552.62622,638.52863,55.303886
09,197,819,8,1038,31,220,13,204,0,61,14,102,603036,29,3676841,6.0972166,1410.9302,1863.9161,106.36103
09,198,155,2,56,0,102,5,102,0,32,10,60,584313,16,1578213,2.7009718,343.43109,320.05832,34.00972
09,199,215,2,168,0,324,15,284,0,50,16,103,645610,6,2496970,3.8676136,732.38068,850.3642,78.881821
09,200,200,2,82,0,163,8,112,30,36,10,66,307818,20,1862559,6.0508451,580.83044,593.35577,70.508453
09,201,130,2,77,0,324,16,267,0,48,15,52,499929,8,1774480,3.549464,624.37427,528.57214,71.241959
10,203,335,2,57,9,60,2,24,0,84,14,139,3160883,72,3935042,1.2449186,499.57315,254.04369,21.42886
10,204,100,1,28,0,174,3,66,0,114,22,188,4468486,84,5099371,1.1411854,404.09512,308.54285,29.106079
10,205,30,1,20,0,0,0,0,,30,7,39,630669,18,656246,1.0405554,61.21666,60.581657,8.2838879
10,206,90,1,41,0,10,1,13,0,112,19,167,3161561,94,3423574,1.0828745,221.28195,234.84004,22.574615
10,207,185,2,56,36,60,2,28,0,159,28,188,4614076,126,4487379,.97254121,399.63406,266.83774,31.231153
10,208,100,1,31,5,60,2,73,0,84,11,161,1892111,78,2229076,1.1780895,258.9595,293.67242,15.958984
10,209,175,2,39,0,90,3,67,0,66,14,100,2542548,30,2811569,1.1058077,337.98331,216.58076,20.481308
10,210,100,1,20,0,30,1,18,0,48,8,96,1961134,36,1690400,.86195028,171.37361,120.74722,8.8956022
10,211,372,3,88,47,63,2,20,0,60,10,115,1848031,54,3264619,1.7665391,540.99237,311.15201,22.66539
10,212,198,3,69,10,30,2,20,0,82,14,133,2258752,64,3071029,1.3596132,339.48828,269.82855,24.034584
10,213,70,1,27,0,0,0,0,,104,20,146,2232659,94,2001762,.89658207,163.24454,157.90099,18.931641
10,214,214,1,54,0,0,0,0,,82,15,142,1691843,66,1900661,1.1234263,306.12097,213.52654,17.851395
10,215,75,1,6,0,118,3,39,0,120,20,169,3468859,72,3937385,1.1350663,329.20795,236.8262,26.701324
10,216,160,1,112,6,30,1,29,0,108,20,147,4101193,78,4801062,1.1706501,316.43021,313.08557,25.413002
10,217,190,2,55,24,60,3,38,0,70,16,98,2371083,54,2562012,1.080524,325.63669,198.89134,22.288383
10,218,160,2,38,4,90,3,42,0,121,22,220,3293816,72,3330464,1.0111263,372.34628,302.44778,27.244778
10,219,210,2,41,0,90,3,25,0,95,22,168,3860933,66,3951862,1.023551,397.23734,237.95657,27.518122
