lgd_state_id,lgd_district_id,pc_hospitals_r,pc_hospitals_u,pc_hosp_beds_u,pc_pmed_pos_r,pc_pmed_pos_u,pc_docs_pos_r,pc_docs_pos_u,pc_docs_hosp_u,pc_docs_hosp_r,pc_clinics_r,pc_clinics_u,pc_clinic_beds_u,pc11_pca_tot_p,pc_clinics,pc_docs,pc_docs_hosp,pc_pmeds,pc_num_hospitals
01,001,5,8,284,613,445,321,96,50,12,176,30,469,928430,206,417,62,1058,13
01,002,13,6,316,573,496,299,148,111,14,208,14,480,734110,222,447,125,1069,19
01,003,6,6,341,581,429,352,152,86,8,202,34,605,1007916,236,504,94,1010,12
01,004,2,3,140,352,388,187,71,40,2,170,13,281,409784,183,258,42,740,5
01,005,6,11,1251,829,976,364,362,243,20,271,31730,1954,1529413,32001,726,263,1805,17
01,007,5,5,205,678,285,265,66,57,15,216,12,234,615999,228,331,72,963,10
01,008,8,1,100,684,76,374,42,14,10,195,7,168,870311,202,416,24,760,9
01,010,6,2,270,246,101,85,47,36,6,101,55,311,476752,156,132,42,347,8
01,011,8,4,116,514,208,251,87,67,12,148,7,176,560399,155,338,79,722,12
01,012,3,3,380,551,233,201,81,52,4,226,53,570,642302,279,282,56,784,6
01,013,0,3,204,29,69,15,43,35,0,9,9,241,49962,18,58,35,98,3
01,014,1,3,145,353,212,170,87,59,2,186,12,210,554808,198,257,61,565,4
01,620,1,1,100,242,52,73,25,19,4,77,2,126,230696,79,98,23,294,2
01,621,1,3,80,91,96,51,52,29,1,62,6,157,283713,68,103,30,187,4
01,622,2,4,18,293,147,126,34,11,5,70,12,109,424089,82,160,16,440,6
01,623,2,0,0,276,122,124,31,0,3,80,7,82,392232,87,155,3,398,2
01,624,4,5,86,284,137,111,70,51,5,104,45,182,318444,149,181,56,421,9
01,625,4,1,40,273,41,150,17,3,6,71,1,67,266175,72,167,9,314,5
01,626,3,1,30,384,71,183,30,13,5,108,7,72,297438,115,213,18,455,4
01,627,1,1,16,265,81,127,33,2,2,129,3,89,314528,132,160,4,346,2
02,015,1,2,275,198,307,183,51,28,3,203,17,355,380550,220,234,31,505,3
02,016,12,5,374,231,253,274,60,40,7,343,11,476,517779,354,334,47,484,17
02,017,1,3,340,312,140,215,59,27,1,279,26,419,449994,305,274,28,452,4
02,018,19,9,705,1509,502,1121,145,76,59,1069,196,970,1503754,1265,1266,135,2011,28
02,019,5,0,0,110,0,97,0,0,5,97,0,0,83257,97,97,5,110,5
02,020,11,3,280,150,285,135,75,41,9,218,31,378,437499,249,210,50,435,14
02,021,2,0,0,146,0,95,0,0,9,57,0,0,28654,57,95,9,146,2
02,022,12,6,727,650,382,562,99,65,16,617,23,899,992554,640,661,81,1032,18
02,023,5,14,2193,431,696,453,399,206,9,448,69,2444,803404,517,852,215,1127,19
02,024,10,3,418,171,158,195,85,58,7,263,16,478,528407,279,280,65,329,13
02,025,9,8,433,346,312,310,107,76,23,296,34,527,565582,330,417,99,658,17
02,026,4,2,166,494,85,346,31,12,10,362,28,239,519592,390,377,22,579,6
03,027,19,49,1839,544,1154,448,199,101,22,427,948,2537,2486948,1375,647,123,1698,68
03,028,7,8,299,650,482,459,123,58,7,331,461,639,1388498,792,582,65,1132,15
03,029,9,4,680,255,202,175,231,210,9,302,76,728,617499,378,406,219,457,13
03,030,0,9,380,79,234,57,137,100,0,98,312,722,600017,410,194,100,313,9
03,031,11.8919774889946,7.610865592956543,183.6121324300766,392.4352571368217,188.8446025252342,358.1863619685173,48.51926815509796,35.20025336742401,16.17308938503265,347.7214217782021,254.9639973640442,201.6879382133484,964989.259396553,602.6854191422462,406.7056301236153,51.37334275245667,581.279859662056,19.50284308195114
03,032,14.81785833835602,13.40663373470306,414.9000334739685,586.3638228178024,630.8173978328705,471.3490176200867,160.8796048164368,67.03316867351532,19.05153214931488,417.0168703794479,565.9010660648346,975.1562011241913,1621222.586411834,982.9179364442825,632.2286224365234,86.0847008228302,1217.181220650673,28.22449207305908
03,033,81,9,553,1320,347,1309,159,91,81,1647,9050,941,1585942,10697,1468,172,1667,90
03,034,23,30,952,945,667,660,265,130,51,552,842,1368,2192137,1394,925,181,1612,53
03,035,30,12,366,505,342,475,111,37,30,402,1210,776,813754,1612,586,67,847,42
03,036,25,10,489,842,647,755,166,96,26,574,3266,672,3498403,3840,921,122,1489,35
03,037,4,2,150,397,248,264,39,24,4,204,54,220,769750,258,303,28,645,6
03,038,17,6,230,462,174,337,49,33,17,318,81,268,995544,399,386,50,636,23
03,039,13,4,185,411,140,313,35,29,19,216,42,213,901787,258,348,48,551,17
03,040,13,3,124,432,106,322,38,28,17,288,61,133,611974,349,360,45,538,16
03,041,15,18,1287,442,1703,428,130,53,15,446,273,1682,1895446,719,558,68,2145,33
03,042,4,6,355,351,308,244,101,60,5,169,253,487,684126,422,345,65,659,10
03,043,7,18,483,503,391,455,105,67,7,331,27200,657,1654925,27531,560,74,894,25
03,605,8,4,168,276,205,144,47,25,8,121,33,202,595520,154,191,33,481,12
03,608,0,5,210,422,267,278,106,55,0,178,247,254,994513,425,384,55,689,5
03,609,63,4,161,532,119,476,38,19,43,641,131,209,1119497,772,514,62,651,67
03,651,13.1080225110054,8.389134407043457,202.3878675699234,432.5647428631783,208.1553974747658,394.8136380314827,53.48073184490204,38.79974663257599,17.82691061496735,383.2785782217979,281.0360026359558,222.3120617866516,1063666.740603447,664.3145808577538,448.2943698763847,56.62665724754333,640.720140337944,21.49715691804886
03,662,6.182141661643982,5.593366265296936,173.0999665260315,244.6361771821976,263.1826021671295,196.6509823799133,67.12039518356323,27.96683132648468,7.94846785068512,173.9831296205521,236.0989339351654,406.8437988758087,676388.4135881662,410.0820635557175,263.7713775634766,35.9152991771698,507.8187793493271,11.77550792694092
04,044,0,6,2894,24,3349,13,747,611,0,13,109,2894,1055450,122,760,611,3373,6
05,045,40,6,460,773,241,199,42,31,42,217,27,467,615610,244,241,73,1014,46
05,046,15,1,60,229,46,116,17,11,18,169,7,64,256541,176,133,29,275,16
05,047,20,7,168,417,179,137,53,28,23,151,27,242,387132,178,190,51,596,27
05,048,9,4,100,256,77,85,35,14,9,108,25,153,257697,133,120,23,333,13
05,049,44,21,1149,1166,1919,329,398,156,46,352,258,2636,1695819,610,727,202,3085,65
05,050,0,21,758,529,835,168,191,114,0,1875,219,1035,1889962,2094,359,114,1364,21
05,051,31,10,977,588,680,362,311,267,56,880,123,1107,951892,1003,673,323,1268,41
05,052,101,6,334,2348,259,541,64,38,106,1547,24,429,668230,1571,605,144,2607,107
05,053,39,13,224,501,183,141,28,10,47,225,27,400,475509,252,169,57,684,52
05,054,21,2,76,390,61,180,15,10,26,158,6,104,240730,164,195,36,451,23
05,055,30,6,131,796,167,216,39,24,30,286,26,190,613911,312,255,54,963,36
05,056,8,11,404,433,389,103,134,92,13,1438,135,510,1648323,1573,237,105,822,19
05,057,21,3,128,392,115,125,21,13,25,162,15,148,329229,177,146,38,507,24
06,058,0,7,384,305,299,80,92,68,0,241,242,422,1128172,483,172,68,604,7
06,059,0,4.156159400939941,405.2255415916443,590.1746349334717,329.0292859077454,135.0751805305481,61.64969778060913,49.8739128112793,0,215.427595615387,82.43049478530884,422.542872428894,1132121.88887167,297.8580904006958,196.7248783111572,49.8739128112793,919.203920841217,4.156159400939941
06,060,0,3,500,93,361,41,178,112,0,121,260,540,1809643,381,219,112,454,3
06,061,0,4,240,269,146,68,71,62,0,163,77,250,941925,240,139,62,415,4
06,062,0,8,430,210,254,60,104,84,0,109,144,435,1514397,253,164,84,464,8
06,063,0,6,394,752,386,168,102,69,0,329,199,471,1743931,528,270,69,1138,6
06,064,0,3,145,508,185,163,60,49,0,244,61,145,958340,305,223,49,693,3
06,065,0,5,330,652,318,235,57,47,0,215,55,354,1334132,270,292,47,970,5
06,066,0,4,165,478,194,101,32,27,0,198,56,165,1074268,254,133,27,672,4
06,067,0,7,348,387,465,91,71,61,0,244,158,370,1505074,402,162,61,852,7
06,068,0,5,196,362,320,117,106,50,0,170,60,296,964601,230,223,50,682,5
06,069,0,5,208,335,157,105,41,29,0,171,62,239,922035,233,146,29,492,5
06,070,0,5,225,119,334,41,96,87,0,71,61,225,561268,132,137,87,453,5
06,071,0,4,213,300,152,88,52,34,0,209,119,214,1205416,328,140,34,452,4
06,072,0,3,140,378,161,88,45,34,0,176,99,151,900246,275,133,34,539,3
06,073,0,5,1891,522,886,98,421,409,0,171,139,1891,1061204,310,519,409,1408,5
06,074,1,5,232,534,218,155,45,32,5,278,113,242,1295138,391,200,37,752,6
06,075,1,4,184,811,297,340,72,60,225,286,118,186,1449943,404,412,285,1108,5
06,076,0,8,218,258,187,82,101,85,0,267,114,218,1213951,381,183,85,445,8
06,604,1,6,100,169,78,81,29,21,41,116,33,102,1089177,149,110,62,247,7
06,619,0,4,114,204,131,53,22,17,0,144,44,114,1042660,188,75,17,335,4
06,701,0,1.843840599060059,179.7744584083557,261.8253650665283,145.9707140922546,59.9248194694519,27.35030221939087,22.1260871887207,0,95.57240438461304,36.56950521469116,187.457127571106,502255.1111283302,132.1419095993042,87.27512168884277,22.1260871887207,407.796079158783,1.843840599060059
07,078,0,6,340,1,584,1,250,76,0,1,54,873,423082,55,251,76,585,6
07,080,0,0,0,0,51,0,7.25,0,0,0,16,54,287035,16,7.25,0,51,0
07,081,0,0,0,5,307,4,79,0,0,3,54,269.2000026702881,1060017,57,83,0,312,0
07,082,0,7,413.6363639831543,98,979,47,354.5151538848877,208.9393939971924,0,36,294,761.8181762695313,1567693,330,401.5151672363281,208.9393920898438,1077,7
07,083,0,2,123.1304349899292,0,222,0,77.43478226661682,14.60869562625885,0,3,64,218.0869560241699,858049,67,77.43478393554688,14.60869598388672,222,2
07,084,1,2,150,91,232,73,141,94,1,34,46,202,525376,80,214,95,323,3
07,085,0,0,0,11,204,7,32.72727203369141,0,0,2,26,201.8181762695313,663980,28,39.72727203369141,0,215,0
08,086,2,31,2581,1918,1471,538,487,325,8,605,123,2920,2582868,728,1025,333,3389,33
08,087,3,19,1088,3104,903,924,266,129,14,905,124,1255,3673914,1029,1190,143,4007,22
08,088,1,6,559,1913,241,375,76,37,4,712,27,631,1797110,739,451,41,2154,7
08,089,0,11,580,950,364,216,132,59,0,332,56,656,1222144,388,348,59,1314,11
08,090,0,5,380,2673,263,431,77,44,0,1204,29,436,2603493,1233,508,44,2936,5
08,091,0,18,950,2057,539,582,221,120,0,591,78,1138,2548063,669,803,120,2596,18
08,092,2,24,887,2441,820,590,202,86,8,840,86,1078,2407737,926,792,94,3261,26
08,093,0,18,2210,2036,1563,620,440,318,0,633,102,2477,2363374,735,1060,318,3599,18
08,094,0,14,599,1032,432,240,145,58,0,327,59,730,1109155,386,385,58,1464,14
08,095,2,18,813,1487,428,315,156,65,8,545,64,1029,1542942,609,471,73,1915,20
08,096,1,18,938,1930,539,511,200,101,4,656,96,1134,2039253,752,711,105,2469,19
